date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-08-24,pond-bamboo,45,75,60,0.138,"{""blue"":10,""gray"":20,""green"":12,""purple"":2,""red"":1}"
2026-08-24,pond-calm,58,80,72.5,0.485,"{""blue"":4,""gray"":30,""green"":24}"
2026-08-24,pond-coral,38,70,54.3,0.134,"{""blue"":8,""gray"":15,""green"":14,""purple"":1}"
2026-08-24,pond-crystal,40,70,57.1,0.137,"{""blue"":7,""gray"":19,""green"":12,""purple"":2}"
2026-08-24,pond-dusk,35,75,46.7,0.131,"{""blue"":5,""gray"":14,""green"":13,""purple"":2,""red"":1}"
2026-08-24,pond-fern,50,75,66.7,0.673,"{""blue"":7,""gray"":21,""green"":21,""purple"":1}"
2026-08-24,pond-frost,27,75,36,0.138,"{""blue"":6,""gray"":14,""green"":7}"
2026-08-24,pond-harbor,57,70,81.4,0.842,"{""blue"":13,""gray"":18,""green"":21,""purple"":5}"
2026-08-24,pond-lotus,41,60,68.3,0.145,"{""blue"":3,""gray"":24,""green"":13,""purple"":1}"
2026-08-24,pond-mirror,54,75,72,0.622,"{""blue"":5,""gray"":24,""green"":24,""red"":1}"
2026-08-24,pond-mist,45,70,64.3,0.134,"{""blue"":6,""gray"":22,""green"":17}"
2026-08-24,pond-moon,38,60,63.3,0.138,"{""blue"":2,""gray"":23,""green"":12,""purple"":1}"
2026-08-24,pond-orchid,45,60,75,0.148,"{""blue"":10,""gray"":23,""green"":12}"
2026-08-24,pond-pine,56,80,70,0.541,"{""blue"":5,""gray"":25,""green"":24,""purple"":2}"
2026-08-24,pond-reed,44,80,55,0.138,"{""blue"":11,""gray"":18,""green"":14,""red"":1}"
2026-08-24,pond-ridge,57,80,71.3,0.769,"{""blue"":11,""gray"":19,""green"":24,""purple"":3}"
2026-08-24,pond-spring,36,60,60,0.136,"{""blue"":5,""gray"":20,""green"":11}"
2026-08-24,pond-stone,36,70,51.4,0.141,"{""blue"":3,""gray"":16,""green"":14,""purple"":3}"
2026-08-24,pond-sunset,46,60,76.7,0.134,"{""blue"":6,""gray"":23,""green"":14,""purple"":3}"
2026-08-24,pond-willow,41,80,51.3,0.141,"{""blue"":5,""gray"":19,""green"":17}"
