date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-08-13,pond-bamboo,39,75,52,0.138,"{""blue"":5,""gray"":17,""green"":12,""purple"":4,""red"":1}"
2026-08-13,pond-calm,24,80,30,0.236,"{""blue"":5,""gray"":11,""green"":4,""orange"":1,""purple"":1,""red"":2}"
2026-08-13,pond-coral,32,70,45.7,0.129,"{""blue"":8,""gray"":10,""green"":10,""purple"":3,""red"":1}"
2026-08-13,pond-crystal,35,70,50,0.151,"{""blue"":6,""gold"":1,""gray"":8,""green"":9,""orange"":4,""purple"":5,""red"":2}"
2026-08-13,pond-dusk,36,75,48,0.147,"{""blue"":6,""gray"":15,""green"":10,""orange"":1,""purple"":2,""red"":2}"
2026-08-13,pond-fern,35,75,46.7,0.139,"{""blue"":3,""gray"":16,""green"":12,""purple"":2,""red"":2}"
2026-08-13,pond-frost,39,75,52,0.129,"{""blue"":7,""gold"":1,""gray"":9,""green"":14,""orange"":1,""purple"":5,""red"":2}"
2026-08-13,pond-harbor,31,70,44.3,0.137,"{""blue"":6,""gray"":11,""green"":11,""purple"":3}"
2026-08-13,pond-lotus,22,60,36.7,0.137,"{""blue"":6,""gray"":9,""green"":3,""orange"":1,""purple"":1,""red"":2}"
2026-08-13,pond-mirror,31,75,41.3,0.143,"{""blue"":8,""gray"":9,""green"":9,""orange"":4,""purple"":1}"
2026-08-13,pond-mist,37,70,52.9,0.136,"{""blue"":7,""gray"":13,""green"":12,""orange"":3,""purple"":1,""red"":1}"
2026-08-13,pond-moon,31,60,51.7,0.155,"{""blue"":5,""gray"":14,""green"":7,""orange"":1,""purple"":2,""red"":2}"
2026-08-13,pond-orchid,32,60,53.3,0.128,"{""blue"":3,""gray"":13,""green"":11,""purple"":3,""red"":2}"
2026-08-13,pond-pine,36,80,45,0.141,"{""blue"":8,""gold"":1,""gray"":12,""green"":13,""purple"":1,""red"":1}"
2026-08-13,pond-reed,41,80,51.3,0.136,"{""blue"":5,""gold"":1,""gray"":18,""green"":9,""orange"":1,""purple"":6,""red"":1}"
2026-08-13,pond-ridge,40,80,50,0.132,"{""blue"":9,""gray"":15,""green"":9,""orange"":3,""purple"":4}"
2026-08-13,pond-spring,27,60,45,0.133,"{""blue"":5,""gray"":14,""green"":5,""purple"":2,""red"":1}"
2026-08-13,pond-stone,29,70,41.4,0.142,"{""blue"":8,""gray"":10,""green"":7,""purple"":3,""red"":1}"
2026-08-13,pond-sunset,25,60,41.7,0.136,"{""blue"":3,""gray"":10,""green"":8,""purple"":3,""red"":1}"
2026-08-13,pond-willow,36,80,45,0.133,"{""blue"":7,""gold"":1,""gray"":13,""green"":12,""orange"":1,""purple"":1,""red"":1}"
